Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real,,,,
2010,4,201004,Hobart,Sydney,Hobart - Sydney,178,211.0730689,,,,
2010,4,201004,Kalgoorlie,Perth,Kalgoorlie - Perth,359,425.7035491,,,,
2010,4,201004,Karratha,Perth,Karratha - Perth,398,471.9498956,,,,
2010,4,201004,Launceston,Melbourne,Launceston - Melbourne,47,55.73277662,,,,
2010,4,201004,Launceston,Sydney,Launceston - Sydney,174,206.3298539,,,,
2010,4,201004,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,137,162.4551148,,,,
2010,4,201004,Sunshine Coast,Sydney,Sunshine Coast - Sydney,138,163.6409186,,,,
2010,4,201004,Melbourne,Gold Coast,Melbourne - Gold Coast,117,138.7390397,,,,
2010,4,201004,Melbourne,Mildura,Melbourne - Mildura,178,211.0730689,,,,
2010,4,201004,Melbourne,Perth,Melbourne - Perth,296,350.9979123,,,,
2010,4,201004,Melbourne,Sydney,Melbourne - Sydney,57,67.5908142,,,,
2010,4,201004,Melbourne,Newcastle,Melbourne - Newcastle,108,128.0668058,,,,
2010,4,201004,Paraburdoo,Perth,Paraburdoo - Perth,429,508.7098121,,,,
2010,4,201004,Perth,Newman,Perth - Newman,368,436.3757829,,,,
2010,4,201004,Perth,Port Hedland,Perth - Port Hedland,298,353.3695198,,,,
2010,4,201004,Perth,Sydney,Perth - Sydney,388,460.091858,,,,
2010,4,201004,Port Macquarie,Sydney,Port Macquarie - Sydney,118,139.9248434,,,,
2010,4,201004,Sydney,Tamworth,Sydney - Tamworth,190,225.302714,,,,
2010,4,201004,Sydney,Townsville,Sydney - Townsville,238,282.2212944,,,,
2010,4,201004,Sydney,Wagga Wagga,Sydney - Wagga Wagga,213.92,253.6671399,,,,
2010,4,201004,Newcastle,Gold Coast,Newcastle - Gold Coast,148,175.4989562,,,,
2010,5,201005,Adelaide,Alice Springs,Adelaide - Alice Springs,318,377.085595,,,,
2010,5,201005,Adelaide,Brisbane,Adelaide - Brisbane,96,113.8371608,,,,
2010,5,201005,Adelaide,Canberra,Adelaide - Canberra,278,329.6534447,,,,
2010,5,201005,Adelaide,Darwin,Adelaide - Darwin,378.95,449.360334,,,,
2010,5,201005,Adelaide,Gold Coast,Adelaide - Gold Coast,96,113.8371608,,,,
2010,5,201005,Adelaide,Melbourne,Adelaide - Melbourne,56,66.40501044,,,,
2010,5,201005,Adelaide,Perth,Adelaide - Perth,298,353.3695198,,,,
2010,5,201005,Adelaide,Port Lincoln,Adelaide - Port Lincoln,177.66,210.6698956,,,,
2010,5,201005,Adelaide,Sydney,Adelaide - Sydney,76,90.12108559,,,,
2010,5,201005,Albury,Sydney,Albury - Sydney,150,177.8705637,,,,
2010,5,201005,Alice Springs,Darwin,Alice Springs - Darwin,568,673.5365344,,,,
2010,5,201005,Alice Springs,Melbourne,Alice Springs - Melbourne,206,244.2755741,,,,
2010,5,201005,Alice Springs,Sydney,Alice Springs - Sydney,658,780.2588727,,,,
2010,5,201005,Avalon,Brisbane,Avalon - Brisbane,188,222.9311065,,,,
2010,5,201005,Avalon,Sydney,Avalon - Sydney,78,92.49269311,,,,
2010,5,201005,Ayers Rock,Cairns,Ayers Rock - Cairns,698,827.691023,,,,
2010,5,201005,Ayers Rock,Sydney,Ayers Rock - Sydney,527,624.9185804,,,,
2010,5,201005,Ballina,Sydney,Ballina - Sydney,198,234.7891441,,,,
2010,5,201005,Brisbane,Cairns,Brisbane - Cairns,208,246.6471816,,,,
2010,5,201005,Brisbane,Canberra,Brisbane - Canberra,219,259.691023,,,,
2010,5,201005,Brisbane,Darwin,Brisbane - Darwin,398,471.9498956,,,,
2010,5,201005,Brisbane,Emerald,Brisbane - Emerald,246,291.7077244,,,,
2010,5,201005,Brisbane,Gladstone,Brisbane - Gladstone,182,215.8162839,,,,
2010,5,201005,Brisbane,Hamilton Island,Brisbane - Hamilton Island,158,187.3569937,,,,
2010,5,201005,Brisbane,Mackay,Brisbane - Mackay,168.95,200.3415449,,,,
2010,5,201005,Brisbane,Melbourne,Brisbane - Melbourne,116,137.5532359,,,,
2010,5,201005,Brisbane,Mount Isa,Brisbane - Mount Isa,582,690.1377871,,,,
2010,5,201005,Brisbane,Perth,Brisbane - Perth,494,585.7870564,,,,
2010,5,201005,Brisbane,Proserpine,Brisbane - Proserpine,148.95,176.6254697,,,,
2010,5,201005,Brisbane,Rockhampton,Brisbane - Rockhampton,38,45.0605428,,,,
2010,5,201005,Brisbane,Sydney,Brisbane - Sydney,128,151.782881,,,,
2010,5,201005,Brisbane,Townsville,Brisbane - Townsville,188,222.9311065,,,,
2010,5,201005,Brisbane,Newcastle,Brisbane - Newcastle,108,128.0668058,,,,
